Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Scream,1.0,5,0,58.82352941176471,100.0,1,1,1
Shaggy Man,1.0,6,0,57.14285714285714,100.0,0,1,1
Silk Spectre,1.0,7,0,58.33333333333333,100.0,0,1,1
Silver Samurai,1.0,7,0,64.0,100.0,0,1,1
Silver Swan,1.0,6,0,63.63636363636363,100.0,0,1,1
Siren,1.0,4,0,57.14285714285714,100.0,0,1,1
Smasher,1.0,4,0,62.5,100.0,0,1,1
Son of Vulcan,1.0,6,0,58.33333333333333,100.0,0,1,1
Doctor Spectrum,1.0,7,0,59.25925925925925,100.0,0,1,1
Spider-Girl,1.0,7,0,46.15384615384615,100.0,0,1,0
Spider-Woman,1.0,6,0,53.84615384615385,100.0,0,1,0
Star Sapphire,1.0,7,0,58.33333333333333,100.0,0,1,1
Starman,1.0,5,0,63.1578947368421,100.0,0,1,0
Martin Stein,1.0,5,0,74.07407407407408,100.0,0,1,1
Super-Adaptoid,1.0,7,0,51.85185185185186,100.0,0,1,0
Super-Chief,1.0,7,0,48.0,100.0,0,1,0
Superboy,1.0,5,0,52.63157894736843,100.0,0,1,0
Supergirl,1.0,6,0,55.55555555555556,100.0,0,1,0
Superwoman,1.0,5,0,58.33333333333333,100.0,0,1,1
Tarantula,1.0,5,0,66.66666666666667,100.0,0,1,1
Terminator,1.0,5,0,66.66666666666667,100.0,0,1,1
Terra,1.0,5,0,53.333333333333336,100.0,0,1,0
Eve Teschmacher,1.0,8,0,64.51612903225806,100.0,0,1,1
Tezcatlipoca,1.0,7,0,56.00000000000001,100.0,0,1,0
Toxin,1.0,5,0,42.85714285714286,100.0,0,1,1
Toyman,1.0,5,0,55.55555555555556,100.0,0,1,1
Trident,1.0,5,0,58.82352941176471,100.0,0,1,1
Ultra-Man,1.0,6,0,52.63157894736843,100.0,0,1,0
Venom,1.0,5,0,53.333333333333336,100.0,0,1,1
Ventriloquist,1.0,8,0,57.14285714285714,100.0,0,1,1
Venus,1.0,5,0,53.333333333333336,100.0,0,1,0
Vision,1.0,4,0,58.82352941176471,100.0,0,1,1
Harrison Wells,1.0,6,0,64.28571428571428,100.0,0,1,0
Werewolf by Night,1.0,10,0,48.48484848484848,100.0,0,1,1
Whip,1.0,5,0,40.0,100.0,0,1,1
White Tiger,1.0,6,0,58.33333333333333,100.0,0,1,1
